GEO_ID,contested_project_total,mw_wind_contested,mw_solar_contested,battery storage,hydropower,pumped storage,solar,solar thermal,transmission line,wind
10001,1,0,7.3,,,,1,,,
10005,2,322.3,0,,,,,,,2
01019,1,0,0,,,,,,,1
01029,1,0,0,,,,,,,1
01039,1,0,160,,,,1,,,
01055,1,80,0,,,,,,,1
12001,2,0,188,,,,2,,,
13021,1,0,9,,,,1,,,
13261,1,0,79.9,,,,1,,,
15003,1,4,0,,,,,,,1
15009,1,0,48.4,,,,1,,,
16011,1,160,0,,,,,,,1
16019,1,635,0,,,,,,,1
16053,1,10,0,,,,,,,1
17011,1,0,0.7,,,,1,,,
17037,1,0,5,,,,1,,,
17039,1,200,0,,,,,,,1
17041,1,200,0,,,,,,,1
17053,1,0,0,,,,,,,1
17105,2,250,0,,,,1,,,1
17107,3,600,0,,,,,,,3
17115,1,305,0,,,,,,,1
17131,1,0,38,,,,1,,,
17147,1,300,0,,,,,,,1
17179,1,0,0,,,,1,,,
18007,1,400,0,,,,,,,1
18019,1,0,390,,,,1,,,
18033,1,0,0,,,,1,,,
18035,1,0,0,,,,1,,,
18039,1,0,150,,,,1,,,
18051,1,0,280,,,,1,,,
18057,1,11,0,,,,,,,1
18065,1,0,0,,,,,,,1
18067,1,0,200,,,,1,,,
18095,1,0,120,,,,1,,,
18103,1,600,0,,,,,,,1
18131,2,0,1690,,,,2,,,
18133,1,0,200,,,,1,,,
18139,2,196,0,,,,,,,2
18159,1,150,0,,,,,,,1
19013,1,6,0,,,,,,,1
19065,1,6,0,,,,,,,1
19103,1,0,0,,,,1,,,
19113,2,0,100,,,,2,,,
19121,1,104,0,,,,,,,1
19129,1,400,0,,,,,,,1
19145,1,200,0,,,,,,,1
19171,1,0,0,,,,,,,1
19193,1,180,0,,,,,,,1
20003,1,200,0,,,,,,,1
20015,1,136,0,,,,,,,1
20045,1,0,159,,,,1,,,
20113,1,100,0,,,,,,,1
20133,1,300,0,,,,,,,1
20139,1,0,0,,,,,,,1
20155,1,220,0,,,,,,,1
20191,1,150,0,,,,,,,1
21049,1,0,0,,,,1,,,
21093,2,0,103,,,,2,,,
21151,1,0,100,,,,1,,,
21161,2,0,0,,,,,,,2
21167,1,0,120,,,,1,,,
22019,1,0,400,,,,1,,,
22047,1,0,205.7,,,,1,,,
23001,1,0,120,,,,1,,,
23003,3,150,0,,,,,,1,2
23007,1,45,0,,,,,,,1
23011,1,0,95,,,,1,,,
23013,1,5,0,,,,,,,1
23019,1,48,0,,,,,,,1
23021,1,185,0,,,,,,,1
23025,1,94,0,,,,,,,1
24001,1,34,0,,,,,,,1
24017,1,0,5,,,,1,,,
24029,1,100,0,,,,,,,1
24043,1,0,10,,,,1,,,
24047,1,966,0,,,,,,,1
25001,4,4400,0,,,,,,,4
25003,1,0,0,,,,,,,1
25011,2,0,9.6,,,,2,,,
25015,2,0,15,,,,2,,,
25017,2,0,1,,,,2,,,
25019,2,1254,0,,,,,,,2
25023,2,6,8,,,,1,,,1
26013,1,98,0,,,,,,,1
26017,1,0,0,,,,,,,1
26023,1,0,0,,,,,,,1
26037,1,0,0,,,,,,,1
26049,1,0,200,,,,1,,,
26057,1,24,0,,,,,,,1
26059,1,166,0,,,,,,,1
26063,3,390,0,,,,,,,3
26065,1,300,0,,,,,,,1
26081,1,0,0,,,,,,,1
26087,1,0,100,,,,1,,,
26103,1,0,150,,,,1,,,
26105,1,400,0,,,,,,,1
26117,1,375,0,,,,,,,1
26121,1,0,200,,,,1,,,
26147,1,0,90,,,,1,,,
26151,1,150,0,,,,,,,1
26157,1,0,0,,,,,,,1
26159,1,0,100,,,,1,,,
26161,1,0,20,,,,1,,,
27043,1,36,0,,,,,,,1
27049,1,0,0,,,,,,,1
27053,1,0,0.6,,,,1,,,
27083,1,0,62,,,,1,,,
27085,1,0,0.4,,,,1,,,
28073,1,0,90,,,,1,,,
29027,2,0,100,,,,1,,1,
29049,1,200,0,,,,,,,1
30067,1,22,0,,,,,,,1
30093,1,0,160,,,,1,,,
30097,1,44,0,,,,,,,1
30105,1,500,0,,,,,,,1
31021,1,172,0,,,,,,,1
31031,1,60,0,,,,,,,1
31109,1,0,250,,,,1,,,
31151,1,300,0,,,,,,,1
31155,1,0,81,,,,1,,,
31185,1,0,310,,,,1,,,
32001,1,0,0,,,,,1,,
32003,6,700,1250,,,,3,,,3
32023,2,0,3800,,,,2,,,
32031,2,0,0,,,,,1,,1
32033,1,152,0,,,,,,,1
32510,1,0,850,,,,1,,,
33007,1,99,0,,,,,,,1
33009,1,9,0,,,,,,,1
33011,1,29,0,,,,,,,1
33013,1,0,10,,,,1,,,
34009,2,1100,0,,,,,,,2
34029,2,0,21,,,,1,,,1
34035,1,0,13.2,,,,1,,,
35005,4,0,15,,,,4,,,
35029,1,0,5,,,,1,,,
35049,1,0,96,,,,1,,,
36003,1,340,0,,,,,,,1
36007,1,125,0,,,,,,,1
36009,1,58,0,,,,,,,1
36011,1,0,200,,,,1,,,
36013,2,133,0,,,,,,,2
36021,1,0,40,,,,1,,,
36027,1,0,5,,,,1,,,
36039,1,0,100,,,,1,,,
36043,1,0,350,,,,1,,,
36045,3,743,0,,,,,,,3
36053,1,0,8,,,,1,,,
36063,3,201,450,,,,2,,,1
36077,1,4,0,,,,,,,1
36085,1,0,0,1,,,,,,
36089,3,0,189,,,,3,,,
36093,1,0,5,,,,1,,,
36095,1,0,5,,,,1,,,
36099,1,0,125,,,,1,,,
36103,1,132,0,,,,,,,1
36109,2,16,0,,,,1,,,1
36119,1,0,75,,,,1,,,
36121,1,150,0,,,,,,,1
37035,1,0,58,,,,1,,,
37131,1,0,5,,,,1,,,
37141,1,0,230,,,,1,,,
37159,1,0,57.5,,,,1,,,
37171,1,0,20,,,,1,,,
37197,1,0,22,,,,1,,,
38007,1,383,0,,,,,,,1
38013,1,200,0,,,,,,,1
38015,1,140,0,,,,,,,1
38055,1,1100,0,,,,,,,1
38057,1,152,0,,,,,,,1
38089,1,150,0,,,,,,,1
39003,1,0,300,,,,1,,,
39027,1,0,300,,,,1,,,
39029,1,0,145,,,,1,,,
39033,1,300,0,,,,,,,1
39035,1,7,0,,,,,,,1
39039,1,0,68,,,,1,,,
39043,1,300,0,,,,,,,1
39057,1,0,175,,,,1,,,
39063,3,0,250,,,,2,,,1
39083,1,0,120,,,,1,,,
39091,1,0,380,,,,1,,,
39097,1,0,800,,,,1,,,
39099,1,0,150,,,,1,,,
39101,1,0,68,,,,1,,,
39129,3,0,580,,,,3,,,
39135,2,0,0,,,,2,,,
39143,1,200,0,,,,,,,1
39147,1,212,0,,,,,,,1
04001,1,0,0,,,1,,,,
40025,1,2000,0,,,,,,,1
40047,1,0,527.7,,,,1,,,
40113,2,2168,0,,,,,,,2
41005,2,0,8.3,,,,2,,,
41025,1,0,0,,,,,,,1
41029,1,0,8,,,,1,,,
41037,1,0,400,,,,1,,,
41065,1,194,0,,,,,,,1
41071,1,0,1.2,,,,1,,,
42025,2,156,0,,,,,,,2
42049,1,0,90.2,,,,1,,,
42069,2,0,9.6,,,,2,,,
42071,2,0,75,,,,2,,,
42073,1,0,200,,,,1,,,
42089,1,0,80,,,,1,,,
42133,1,0,60,,,,1,,,
44005,3,704,0,,,,,,,3
44007,4,0,37,,,,3,,,1
44009,3,30,7,,,,1,,,2
45051,1,0,138,,,,1,,,
45085,1,0,2,,,,1,,,
46025,1,400,0,,,,,,,1
46029,1,264,0,,,,,,,1
46035,2,22,0,,,,,,,2
46083,1,1000,0,,,,,,,1
46087,1,0,0,,,,1,,,
46111,1,22,0,,,,,,,1
46129,1,0,320,,,,1,,,
48021,1,0,300,,,,1,,,
48059,1,267,0,,,,,,,1
48077,1,200,0,,,,,,,1
48147,1,0,0,,,,,,,1
48223,1,0,185,,,,1,,,
50001,1,0,0,,,,1,,,
50003,4,2,22,,,,3,,,1
50011,1,0,0,,,,,,,1
50019,3,42,0,,,,,,,3
50021,2,5,2,,,,1,,,1
50025,1,0,0,,,,,,,1
51009,1,0,50,,,,1,,,
51023,1,75,0,,,,,,,1
51029,1,0,80,,,,1,,,
51037,1,0,800,,,,1,,,
51047,2,0,309,,,,2,,,
51053,1,0,80,,,,1,,,
51061,1,0,4,,,,1,,,
51065,1,0,38,,,,1,,,
51081,1,0,123,,,,1,,,
51083,3,0,112,,,,3,,,
51089,2,0,138.4,,,,2,,,
51093,1,0,71,,,,1,,,
51095,1,0,75,,,,1,,,
51117,4,0,88.9,,,,4,,,
51139,1,0,10,,,,1,,,
51145,1,0,0,,,,1,,,
51149,1,0,100,,,,1,,,
51177,1,0,635,,,,1,,,
51810,1,0,0,,,,,,,1
53005,1,600,0,,,,,,,1
53037,1,0,25,,,,1,,,
53039,2,0,160,,,1,1,,,
53061,1,0,0,,1,,,,,
53077,1,0,80,,,,1,,,
54023,1,264,0,,,,,,,1
54025,1,100,0,,,,,,,1
54053,1,0,100,,,,1,,,
55009,1,150,0,,,,,,,1
55021,1,0,300,,,,1,,,
55025,1,0,0,,,,,,1,
55043,1,14,0,,,,,,,1
55045,1,65,0,,,,,,,1
55071,1,0,0,,,,,,,1
55109,1,5,0,,,,,,,1
56001,2,504,0,,,,,,1,1
56009,1,132,0,,,,,,,1
06001,5,210.7,151,,,,2,,,3
06023,1,230,0,,,,,,,1
06029,2,7.95,0,,,,,,,2
06033,1,57.5,0,,,,,,,1
06069,1,0,0.56,,,,1,,,
06071,2,0,550,,,,2,,,
06073,2,0,60.4,1,,,1,,,
06083,2,403.2,0,,,,,,,2
06089,1,3,0,,,,,,,1
06097,1,0,0,,,1,,,,
08067,1,0,380,,,,1,,,
08083,1,0,7.3,,,,1,,,
08101,2,0,528.7,,,,2,,,
08109,1,0,0,,,,,1,,
08113,1,0,1.2,,,,1,,,
09003,1,0,60,,,,1,,,
09005,1,90.2,0,,,,,,,1